category,source,target
*,Karkata Ancillary Remote Unit,巨蟹远程辅助单位
*,Dasyus,暗魔
*,Nagas,娜迦
*,Myrmidons,追随战士
*,Deva Functionaries,天人专员
*,Devabot,天人机器人
*,Garuda Tacbots,迦楼罗战术机器人
*,Daleth Rebots,远望遥控机
*,Dakini Tacbots,空行母战术机器人
*,Zayin Rebots,利剑遥控机
*,Samekh Rebots,强援遥控机
*,Sophotects,创智者
*,Lamedh Rebots,先遣遥控机
*,Netrods,网络节点
*,Probots,原型机
*,PROXY Mk.1,代理人1型
*,PROXY Mk.2,代理人2型
*,PROXY Mk.3,代理人3型
*,PROXY Mk.4,代理人4型
*,PROXY Mk.5,代理人5型
*,Posthumans,代理人
*,Yadu Officer Shakti,沙克蒂，雅度军官
*,Yudbots,助手机器人
*,Agêma Marksmen,皇家卫队射手
*,"Nesaie Alkê, Thorakitai Warrant Officer",妮莎依•阿尔刻，装甲枪手准尉
*,Nesaie Alkê,妮莎依•阿尔刻
*,"Atalanta, Agêma's NCO",阿塔兰忒，皇家卫队士官
*,Rudras GunBots,楼陀罗武装遥控机
*,"Hippolyta, Amazon Officer",希波吕忒，亚马逊军官
*,"Diomedes, Ekdromoi Officer",狄俄墨得斯，游击散兵军官
*,"Machaon, Myrmidon Doctor-Officer",马卡翁，追随战士医官
*,"Phoenix, Veteran Myrmidon Officer",菲尼克斯，追随战士资深军官
*,"Eudoros, Myrmidon Officer",欧多罗斯，追随战士军官
*,"Ajax the Great, Myrmidon Officer",大埃阿斯，追随战士军官
*,"Penthesilea, Amazon Warrioress",彭忒西勒亚，亚马逊女战士
*,Thamyris the Aoidos,诵诗人塔米里斯
*,"Patroclus, Myrmidon Special Officer",帕特洛克罗斯，追随战士特别军官
*,Chandra Sergeant Thrasymedes,月神别动队军士特拉叙墨德斯
*,"Teucer, Agêma Warrant Officer",透克罗斯，皇家卫队准尉
*,"Drakios, Steel Phalanx's NCO",德拉基奥斯，钢铁方阵士官
*,Devabot Kydoimos,天神机器人库多摩斯型
*,"Scylla, Steel Phalanx's NCO",斯库拉，钢铁方阵士官
*,Devabot Charybdis,天神机器人卡鲁伯底斯型
*,"Acmon, Sergeant of Dactyls",阿克门，锻造精灵军士
*,Achilles v2 (Hoplite Armor),阿喀琉斯2.0（方阵重甲）
*,Achilles,阿喀琉斯
*,"Hector, Homerid Champion",赫克托耳，荷马冠军
*,"Andromeda, Sophistes of the Steel Phalanx",安德洛墨达，钢铁方阵智者
*,"Krakot Renegades, Morat Fugitives",肯德拉特，科拉克特叛军
*,Danavas Hackers,檀那婆黑客
*,Shukra Consultants,苏羯罗顾问团
*,"Yadu Troopers, Tactical Assault Teams",雅度战士，战术突击小组
*,"Dart, Optimate Huntress",达特，贵族女猎手
*,Apsaras,阿部沙罗斯
*,Arjuna Troops,阿周那部队
*,Arjuna Unit,阿周那部队
*,KiranBots,基罗多机器人
*,Ekdromoi,游击散兵
*,Chandra Specialist Operative Trisha N33,月神别动队专家行动员，特丽莎 N33
*,ASURA,阿修罗
*,MARUT,暴风神
*,KARKATA,巨蟹
*,DASYU,暗魔
*,NAGA,娜迦
*,DEVA,天人
*,DEVABOT,天人机器人
*,GARUDA Tacbot,迦楼罗
*,DALETH Rebot,远望遥控机
*,DAKINI Tacbot,空行母
*,ZAYIN Rebot,利剑遥控机
*,SAMEKH Rebot,强援遥控机
*,SOPHOTECT,创智者
*,LAMEDH Rebot,先遣遥控机
*,Dactyls,锻造精灵
*,DACTYL,锻造精灵
*,NETROD,网络节点
*,PROBOT,原型机
*,SHAKTI,沙克蒂
*,THORAKITES,装甲枪手
*,YUDBOT,助手机器人
*,MYRMIDON OFFICER,追随战士军官
*,Myrmidon Officer,追随战士军官
*,MYRMIDON,追随战士
*,AGÊMA Marksman,皇家射手
*,EKDROMOS,游击散兵
*,ALKÊ,阿尔刻
*,ATALANTA,阿塔兰忒
*,RUDRA,楼陀罗
*,HIPPOLYTA,希伯吕忒
*,DIOMEDES,狄俄墨得斯
*,MACHAON,马卡翁
*,PHOENIX,菲尼克斯
*,EUDOROS,欧多罗斯
*,AJAX,埃阿斯
*,PENTHESILEA,彭忒西勒亚
*,THAMYRIS,塔米里斯
*,ACHILLES,阿喀琉斯
*,PATROCLUS,帕特洛克罗斯
*,AÏDA SWANSON,艾达·斯旺森
*,THRASYMEDES,特拉叙墨德斯
*,TEUCER,透克罗斯
*,Thorakitai,装甲枪手
*,DRAKIOS,德拉基奥斯
*,DEVABOT KYDOIMOS,天神机器人库多摩斯型
*,SCYLLA,斯库拉
*,DEVABOT CHARYBDIS,天神机器人卡鲁伯底斯型
*,ACMON,阿克门
*,HECTOR,赫克托耳
*,ANDROMEDA,安德洛墨达
*,KRAKOT RENEGADE,肯德拉特
*,DANAVAS,檀那婆
*,SHUKRA,苏羯罗
*,YADU,雅度
*,DART,达特
*,APSARA,阿部沙罗斯
*,ARJUNA,阿周那
*,KIRANBOT,基罗多机器人
*,TRISHA,特丽莎
*,Kamael Light Infantry,英烈轻步兵
*,Sakiel Regiment,不屈军团
*,Gao-Rael Unit,敏锐猎手团
*,Gao-Tarsos Unit,圆周率别动队
*,Gorgos Squad,毁灭者小队
*,Chaksa Periferical,查卡萨护卫
*,Clipsos Infiltrators,虚无渗透者
*,Makaul Troops,救赎者部队
*,Kumotail Bioingeneers,唯律者，生物工程师
*,Chaksa Auxiliars,查卡萨辅助军
*,Chaksa Servants,查卡萨仆从
*,"Neema Saatar, Ectros Regiment Officer",妮玛·萨塔尔，常胜军团军官
*,Ectros Regiment,常胜军团
*,Neema Saatar,妮玛·萨塔尔
*,Tohaa Diplomatic Delegates,托哈外交官
*,Hatail Aelis Keesan,情报勘探处：爱丽斯·科萨
*,Nikoul Ambush Unit,掘亡者伏击部队
*,Kotail Mobile Unit,疾风机动部队
*,Igao Unit,杀戮阴影部队
*,Kaeltar Specialists,危情处理专家
*,Kosuil Assault Pioneers,惩戒营突击工兵
*,Sukeul Commandos,正义之剑突击队
*,Kaauri Sentinels,卡乌里哨兵
*,Taqeul Officers,指挥之剑军官
*,Taagma Schemers,塔格玛阴谋家
*,Kiel-Saan Covert Assault Unit,常胜无形潜伏突击单位
*,Draal Saboteurs,德拉尔破坏者
*,Kriigel Agents,克里格特工
*,Reex Escorts,77护卫
*,Kiiutan Imposters,基尤坦诈欺者
*,Chaksa Longarms,查卡萨射手
*,Rasail Boarding Team,狂怒者跳帮队
*,KERAIL Preceptors,战兽导师
*,Surda SymbioBeasts,共生猎兽-毒刃
*,Mutan SymbioBeasts,共生猎兽-枪斗
*,Jaan Staar Kiiutan Imposter,詹·斯塔基尤坦诈欺者
*,"Kendrat, Krakot Renegade",肯德拉特，科拉克特叛军
*,KAMAEL,英烈
*,SAKIEL,不屈
*,GAO-RAEL,敏锐猎手
*,GAO-TARSOS,圆周率
*,ECTROS,常胜
*,GORGOS,毁灭者
*,CHAKSA PERIPHERAL,查卡萨护卫
*,CLIPSOS,虚无
*,MAKAUL,救赎者
*,KUMOTAIL,唯律者
*,CHAKSA AUXILIAR,查卡萨辅助军
*,CHAKSA SERVANT,查卡萨仆从
*,NEEMA,妮玛
*,DIPLOMATIC,外交官
*,HATAIL AELIS KEESAN,爱丽斯·科萨
*,NIKOUL,掘亡者
*,KOTAIL,疾风
*,IGAO,杀戮阴影
*,KAELTAR,危情处理
*,KOSUIL,惩戒
*,SUKEUL,正义之剑
*,KAAURI Sentinel,卡乌里哨兵
*,TAQEUL,指挥之剑
*,TAAGMA,塔格玛
*,KIEL-SAAN,常胜无形
*,DRAAL,德拉尔
*,KRIIGEL,克里格
*,REEX,77
*,KIIUTAN,基尤坦
*,CHAKSA LONGARM,查卡萨射手
*,RASAIL,狂怒者
*,CHAKSA PERIFERICAL,查卡萨护卫
*,KERAIL PRECEPTOR,战兽导师
*,SURDA SYMBIOBEAST,共生猎兽-毒刃
*,MUTAN SYMBIOBEAST,共生猎兽-枪斗
*,JAAN STAAR,詹·斯塔
*,KENDRAT,肯德拉特
*,Kappa Unit,卡帕部队
*,Alpha Unit,阿尔法部队
*,Lynx Unit,山猫部队
*,Team Sirius,天狼星战斗组
*,SiriusBot,天狼星机器人
*,Delta Unit,德尔塔部队
*,Yudbot-B,助手机器人B型
*,Epsilon Unit,埃普西隆部队
*,Omega Unit,欧米伽部队
*,"Betatroopers, Remote Activity Unit Beta",贝塔机兵，实验型远程操控行动部队
*,Gamma Unit,伽玛部队
*,Zeta Unit,泽塔部队
*,Zetbot Ancillary Remote Unit,泽塔远程操控辅助机器人
*,Razor Unit,剃刀部队
*,"Gangbusters, Special Crime Squad",匪帮克星，重案调查组
*,Varangian Guard,瓦兰吉卫队
*,"Cyberghosts, Quantronic Intervention Unit",赛博幽灵，量子介入部队
*,Specialized Support Unit Lambda,拉姆达特勤支援部队
*,Monstruckers,怪兽卡车员
*,Oko Copperbots,天眼遥控机
*,Peeler Copperbots,执法者遥控机
*,Millicent Copperbots,米莉森特遥控机
*,Kyttä Copperbots,探子遥控机
*,Kyttä  Copperbots,探子遥控机
*,FuzzBots,警员遥控机
*,"Cuervo Goldstein, Basilisk Level Delta",库尔沃·戈德斯坦，毒蜥级德尔塔
*,PSI-Cops,普赛特工
*,"Crushers, Special Naval Demolition Team",粉碎者，海军特别爆破队
*,Crushers,粉碎者，海军特别爆破队
*,"Ensign Katherine Cho, Psi Unit",少尉凯瑟琳·周，普赛部队
*,"Bluecoats, Naval Security Detachments",蓝袍，海军安全部
*,Bluecoats,蓝袍，海军安全部
*,"Lawkeepers, Badlands Patrol",维序者，荒地巡逻队
*,SideBot,跟班机器人
*,Nyoka Assault Troops,毒蛇突击队
*,"Bronzes, Deep Space Peacemaker Corps",青铜部队，深空维和兵团
*,Bronzes,青铜部队，深空维和兵团
*,Raptor Boarding Squad,猛禽登舰队
*,"Parvati, Circle League star",帕尔瓦蒂，竞技场明星
*,"Saladin, Naval Liaison Officer",萨拉丁，海军联络官
*,"Shona Carano, Special Instructor and Aristeia! Swordmaster",邵娜·卡拉诺，特别教官与竞技场剑豪
*,"Hector, Homeridae's Champion",赫克托耳，荷马冠军
*,KYTTÄ,探子
*,KAPPA,卡帕
*,ALPHA,阿尔法
*,LYNX,山猫
*,SIRIUS,天狼星
*,SIRIUSBOT,天狼星机器人
*,DELTA,德尔塔
*,EPSILON,埃普西隆
*,OMEGA,欧米伽
*,BETATROOPER,贝塔机兵
*,BETATROOPERS,贝塔机兵
*,GAMMA,伽玛
*,ZETA,泽塔
*,ZETBOT,泽塔机器人
*,RAZOR,剃刀
*,GANGBUSTER,匪帮克星
*,VARANGIAN,瓦兰吉人
*,CYBERGHOSTS,赛博幽灵
*,LAMBDA,拉姆达
*,OKO,天眼
*,PEELER,执法者
*,MILLICENT,米莉森特
*,FUZZBOT,警员遥控机
*,CUERVO GOLDSTEIN,库尔沃·戈德斯坦
*,PSI-COp,普赛特工
*,CRUSHER,粉碎者
*,CHO,周
*,BLUECOAT,蓝袍
*,LAWKEEPER,维序者
*,SIDEBOT,跟班机器人
*,NYOKA,毒蛇·
*,BRONZE,青铜
*,RAPTOR,猛禽
*,PARVATI,帕尔瓦蒂
*,SALADIN,萨拉丁
*,SHONA CARANO,邵娜·卡拉诺
*,Ghulam Infantry,青年军
*,Naffatûn,掷火兵
*,Khawarijs,红巾军
*,Hassassin Govads,哈萨辛风神
*,Zhayedan Intervention Troops,不朽者干预部队
*,Djanbazan Tactical Group,驯兽师战术部队
*,Hassassin Ragiks,哈萨辛教员
*,Janissaires,禁卫军
*,Maghariba Guard,西方守卫
*,MAGHARIBA PILOT,西方守卫驾驶员
*,Hunzakuts,罕撒人
*,Murabids Tuareg,沙村牧人
*,Druze Shock Teams,德鲁兹突击队
*,Hassassin Fiday,哈萨辛死士
*,Kum Motorized Troops,库姆摩托部队
*,Najjarun Engineers,木器匠工兵
*,Rafiq Remotes,向导遥控机
*,Shihab Remotes,陨星遥控机
*,Monstruckers,怪兽卡车
*,Shaytaniyah Remotes,恶魔遥控机
*,Fanous Remotes,射灯遥控机
*,"Tarik Mansuri, Khawarij Amir",塔里克·曼苏里， 红巾军领袖
*,"Nazarova Twins, Kum Enforcers. Zamira Nazarova",娜扎罗娃姐妹，库姆执行人
*,"Nazarova Twins, Kum Enforcers. Zuleyka Nazarova",娜扎罗娃姐妹，库姆执行人
*,Daylami Infantry,德拉米步兵
*,Odalisques,侍女
*,Bashi Bazouks,先驱捕手
*,Hafza Unit,守护天使部队
*,Hassassin Muyibs,哈萨辛回应者
*,Hassassin Lasiqs,哈萨辛执行者
*,Asawira Regiment,阿萨维拉军团
*,Special Deterrance Group Azra'il,死神，特种威慑小组
*,Al Hawwa' Unit,弄蛇者部队
*,Hassassin Farzans,哈萨辛智者
*,Nasmat Remotes,援护遥控机
*,Kameel Remotes,骆驼遥控机
*,Hussein Al-Djabel,侯赛因·贾巴尔，哈萨辛死士
*,"Saladin, O-12 Liaison Officer",萨拉丁，O-12联络官员
*,Hassassin Barids,哈萨辛信使
*,"KTS, Kaplan Tactical Services",猛虎战术小组
*,"Sekban, Naval Special Unit",塞克班，海军特种部队
*,Muttawi'ah,志愿军勇士
*,Hassassin Husam Yasbir,亚斯巴尔，哈桑特战队员
*,"Wild Bill, Legendary Gunslinger",野牛比尔，传奇枪客
*,Al Fasid Regiment,堕落者战团
*,Hassassin Áyyār,哈萨辛独行者
*,Husam Operative Leila Sharif,蕾拉·沙里夫，哈桑特战队员
*,"HAKIMS, Special Medical Assistance Team",哈基姆，特别医疗援助小组
*,Nasmat A2,援护遥控机A2
*,Mukhtar Active Response Unit,获选者反应部队
*,Nahab Aeromobile Team,掠食者航空机动队
*,Namurr Experimental Operative Group,速虎试验部队
*,Hortlak Janissaries,游魂禁卫军
*,Hassassin Nadhir,哈萨辛警告者
*,SHAKUSH Light Armored Unit,锤头轻甲部队
*,Shakush Pilot,锤头驾驶员
*,Hassassin Shujae,哈萨辛无畏者
*,"YARA HADDAD, Intel Ops Mutafawiq Officer",亚拉·哈达德，穆塔法伊克情报局情报官
*,Medical Specialist Rahman Rouhani,医疗专家，拉赫曼·鲁哈尼
*,GHULAM,青年军
*,NAFFATÛN,掷火兵
*,KHAWARIJ,红巾军
*,GOVAD,风神
*,ZHAYEDAN,不朽者
*,DJANBAZAN,驯兽师
*,RAGIK,教员
*,JANISSARY,禁卫军
*,MAGHARIBA,西方守卫
*,HUNZAKUT,罕撒人
*,TUAREG,牧人
*,DRUZE,德鲁兹
*,FIDAY,死士
*,KUM,库姆
*,NAJJARUN Engineer,木器匠工兵
*,RAFIQ REMOTE,向导遥控机
*,SHIHAB REMOTE,陨星遥控机
*,MONSTRUCKER,怪兽卡车
*,SHAYTANIYAH REMOTE,恶魔遥控机
*,FANOUS REMOTE,射灯遥控机
*,TARIK MANSURI,塔里克·曼苏里
*,"ZAMIRA NAZAROVA, Kum Enforcer",扎米拉·娜扎罗娃，库姆执行人
*,ZAMIRA NAZAROVA,扎米拉·娜扎罗娃
*,ZAMIRA,扎米拉
*,"ZULEYKA NAZAROVA, Kum Enforcer",祖蕾卡·娜扎罗娃，库姆执行人
*,ZULEYKA NAZAROVA,祖蕾卡·娜扎罗娃
*,ZULEYKA,祖蕾卡
*,O-12 Liaison Officer,O-12联络官
*,DAYLAMI,德拉米
*,ODALISQUE,侍女
*,BASHI BAZOUK,先驱捕手
*,HAFZA,守护天使
*,MUYIB,回应者
*,LASIQ,执行者
*,ASAWIRA,阿萨维拉
*,AZRA'IL,死神
*,HAWWA',弄蛇者
*,FARZAN,智者
*,NASMAT,援护
*,KAMEEL,骆驼
*,AL-DJABEL,贾巴尔
*,BARID,信使
*,KAPLAN,猛虎
*,SEKBAN,塞克班
*,MUTTAWI'AH,志愿军勇士
*,HASSASSIN HUSAM YASBIR,亚斯巴尔，哈桑特战队员
*,WILD BILL,野牛比尔
*,FASID,堕落者
*,ÁYYĀR,独行者
*,LEILA SHARIF,蕾拉·沙里夫
*,HAKIM,哈基姆
*,HAKIMs,哈基姆
*,NASMAT A2,援护遥控机A2
*,MUKHTAR,获选者
*,NAHAB,掠食者
*,NAMURR,速虎
*,HORTLAK,游魂
*,NADHIR,警告者
*,SHAKUSH,锤头
*,SHAKUSH PILOT,锤头驾驶员
*,SHUJAE,无畏者
*,YARA HADDAD,亚拉·哈达德
*,ROUHANI,鲁哈尼
*,"Grenzers, Grenz Security Team",边防队，国土安全组
*,Hellcats,地狱猫
*,Zondnautica Rapid Offensive Unit,探机骑士，快速侵攻部队
*,ZondMate,探机搭档
*,Intruders,入侵者
*,"The Hollow Men, Tactical Assault Team",空壳人 战术突击小队
*,Reverend Moiras,天命牧师
*,Reverend Healers,圣愈牧师
*,Hecklers,嘲笑者
*,'Lizard' Squad,蜥蜴连队
*,'Lizard' Pilot,蜥蜴驾驶员
*,Corregidor Bandits,科雷吉多匪徒
*,Puppet Masters,傀儡大师
*,PuppetBots,战术傀儡
*,Puppetactica Company,战术傀儡连队
*,Zeros,零号
*,Corregidor Alguaciles,科雷吉多法警
*,"Mary Problems, Tactical ÜberHacker",问题玛丽，战术黑客
*,Spektrs,幽灵
*,Die Morlock Gruppe,莫洛克大队
*,Corregidor Jaguars,科雷吉多美洲虎
*,"Perseus, Rogue Myrmidon",珀尔修斯，叛逃追随者
*,Daktaris,达克塔利
*,Clockmakers,钟表匠
*,Mobile Brigada,机动旅
*,Tunguska Interventors,通古斯卡干涉者
*,'Iguana' Squadron,鬣蜥中队
*,'Iguana' Operator,鬣蜥机师
*,Stempler Zonds,攀爬探机
*,Reaktion Zonds,反应探机
*,Vertigo Zonds,眩晕探机
*,Meteor Zonds,流星探机
*,Transductor Zonds,电抗探机
*,ZOE,佐伊
*,PI-WELL,派维
*,"Zoe & Π-Well, Special Clockmakers Team",佐伊&派维，钟表匠特别小组
*,Moderators from Bakunin,巴枯宁仲裁者
*,Tomcats,雄猫
*,Zondcats,探测猫
*,Reverend Custodiers,监察牧师
*,Prowlers,徘徊者
*,Sin-Eater Observants,食罪修士
*,Szalamandra Squad,火蜥蜴中队
*,'SZALAMANDRA' PILOT,火蜥蜴驾驶员
*,"Moran, Maasai Hunter",莫兰，马赛猎手
*,Chimera,奇美拉
*,Pupniks,犬卫
*,Bakunin Überfallkommando,巴枯宁防暴机动组
*,Tsyklon Sputniks,旋风护卫机
*,Lunokhod Sputniks,月行者护卫机
*,Zondbots,探测机器人
*,"Aïda Swanson, Submondo Smuggler",阿依达·斯旺森，地下世界走私客
*,Salyut Zonds,礼炮探机
*,"Carlota Kowalsky, Tomcats Sergeant",卡洛塔·科瓦尔斯基，雄猫军士长
*,MORIARTY the Zondcat,莫里亚蒂
*,"Bran do Castro, Triple Zero",布兰·度·卡斯特罗，三重零号
*,Reverend Superior Cassandra Kusanagi,资深牧师卡珊德拉·草薙
*,"Wildcats, Polyvalent Tactical Unit",野猫，多用途战术部队
*,Riot Grrls,叛逆女孩
*,'Gecko' Squad,壁虎中队
*,'Gecko' Pilot,壁虎驾驶员
*,Alguacil Vortex Lupe Balboa,漩涡部队法警 卢佩·巴博亚
*,"Taskmasters, Bakunin SWAST Team",监工，巴枯宁特殊武器和镇压战术队
*,"Kriza Boracs, Special Crisis Unit",危机战士，特殊危机部队
*,Tunguska Cheerkillers,通古斯卡拉拉杀手
*,"Sombras, Forward Interdiction Team",黑影，先遣封锁队
*,"Evaders, EVA Tactical Group",闪避者，出舱活动战术部队
*,Vostok Sputniks,东方护卫机
*,"Jelena Kovač, Securitate DI",秘密警察警督，叶莲娜·科瓦奇
*,Securitate,秘密警察
*,"Jazz&Billie, Tactical Hacking Team",杰兹米·凯迪科维斯，战术黑客
*,"Billie, Customized Support Remote",比莉，改装支援遥控机
*,GRENZER,边防队
*,HELLCAT,地狱猫
*,ZONDNAUT,探机骑士
*,ZONDMATE,探机搭档
*,INTRUDER,入侵者
*,THE HOLLOW MEN,空壳人
*,HOLLOW MEN,空壳人
*,SQUADRON,连队
*,SQUAD,连队
*,OPERATOR,操作员
*,REVEREND MOIRA,天命牧师
*,REVEREND HEALER,圣愈牧师
*,HECKLER,嘲笑者
*,LIZARD,蜥蜴
*,LIZARD PILOT,蜥蜴驾驶员
*,BANDIT,匪徒
*,PUPPET MASTERS,傀儡大师
*,PUPPETBOT,战术傀儡
*,ZERO,零号
*,ALGUACIL,法警
*,MARY PROBLEMS,问题玛丽
*,SPEKTR,幽灵
*,MORLOCK,莫洛克
*,JAGUAR,美洲虎
*,PERSEUS,珀尔修斯
*,DAKTARI,达克塔利
*,CLOCKMAKER,钟表匠
*,MOBILE BRIGADA,机动旅
*,INTERVENTOR,干涉者
*,IGUANA,鬣蜥
*,IGUANA OPERATOR,鬣蜥机师
*,STEMPLER ZOND,攀爬探机
*,REAKTION ZOND,反应探机
*,VERTIGO ZOND,眩晕探机
*,METEOR ZOND,流星探机
*,TRANSDUCTOR ZOND,电抗探机
*,ZOE & Π-WELL,佐伊&派维
*,MODERATOR,仲裁者
*,TOMCAT,雄猫
*,ZONDCAT,探测猫
*,REVEREND CUSTODIER,监察牧师
*,PROWLER,徘徊者
*,SIN-EATER,食罪修士
*,SZALAMANDRA,火蜥蜴
*,SZALAMANDRA PILOT,火蜥蜴驾驶员
*,MORAN,莫兰
*,CHIMERA,奇美拉
*,PUPNIK,犬卫
*,TSYKLON,旋风
*,LUNOKHOD,月行者
*,ZONDBOT,探测机器人
*,SALYUT,礼炮
*,"CARLOTA KOWALSKY, TOMCAT Sergeant",卡洛塔·科瓦尔斯基，雄猫军士长
*,CARLOTA KOWALSKY,卡洛塔·科瓦尔斯基
*,MORIARTY,莫里亚蒂
*,BRAN DO CASTRO,布兰·度·卡斯特罗
*,Cassandra KUSANAGI,卡珊德拉·草薙
*,KUSANAGI,草薙
*,WILDCATS,野猫
*,WILDCAT,野猫
*,JELENA KOVAČ,叶莲娜·科瓦奇
*,RIOT GRRL,叛逆女孩
*,GECKO,壁虎
*,GECKO PILOT,壁虎驾驶员
*,LUPE BALBOA,卢佩·巴博亚
*,SECURITATE,秘密警察
*,TASKMASTER,巴枯宁监工
*,KRIZA BORAC,危机战士
*,CHEERKILLER,拉拉杀手
*,SOMBRA,黑影
*,EVADER,闪避者
*,VOSTOK,东方
*,JAZZ,爵士
*,BILLIE,比莉
*,BERSERK,狂战士
*,BIOIMMUNITY,生化免疫
*,BOOTY,战利品
*,CAMOUFLAGE,迷彩
*,CHAIN OF COMMAND,指挥链
*,CLIMBING PLUS,强化攀爬
*,COMBAT JUMP,战斗突降
*,COURAGE,勇气
*,COUNTERINTELLIGENCE,反情报
*,DECOY,诱饵
*,DOCTOR,军医
*,DOGGED,顽强
*,ENGINEER,工程师
*,EXPLODE,自爆
*,FORWARD DEPLOYMENT,深入部署
*,FORWARD OBSERVER,前线观测员
*,FRENZY,狂热
*,G: JUMPER,灵魂：跳转者
*,GUARD,守卫
*,HIDDEN DEPLOYMENT,隐匿部署
*,IMMUNITY,免疫
*,IMPERSONATION,伪装
*,IMPETUOUS,鲁莽
*,INFILTRATION,渗透
*,LIEUTENANT,尉官
*,MARKSMANSHIP,神射手
*,MARTIAL ARTS,武术
*,METACHEMISTRY,超化学合成剂
*,MINELAYER,布雷者
*,MIMETISM,拟态
*,MNEMONICA,心智转移
*,MORPHO SCAN,形态扫描
*,NATURAL BORN WARRIOR,天生武士
*,NCO,士官
*,NEUROCINETICS,神经运动插件
*,NO WOUND INCAPACITATION,无视伤痛
*,NON-HACKABLE,不可入侵
*,NUMBER 2,第二指挥
*,PARACHUTIST,伞兵
*,PARAMEDIC,医疗兵
*,MELEE WEAPONS,近战武器
*,WEAPONRY,武器
*,EQUIPMENT,装备
*,PERIPHERAL,辅助设备
*,PILOT,驾驶员
*,PROTHEION,生命汲取
*,REGENERATION,重生
*,RELIGIOUS TROOP,虔信部队
*,REMDRIVER,遥控机师
*,REMOTE PRESENCE,远程进驻
*,SAPPER,坑道工兵
*,SEED-EMBRYO,种子胚胎
*,SENSOR,传感器
*,SHASVASTII,夏斯瓦提
*,SIXTH SENSE,第六感
*,SPECIALIST OPERATIVE,专家行动员
*,STRATEGIC DEPLOYMENT,战略部署
*,STEALTH,潜行
*,STRATEGOS L1,战略家 L1
*,STRATEGOS L2,战略家 L2
*,SUPER-JUMP,超级跳跃
*,SURPRISE ATTACK,偷袭攻击
*,TACTICAL AWARENESS,战术意识
*,TERRAIN,地形适应
*,TOTAL REACTION,全反应
*,TRANSMUTATION,变身
*,TRIANGULATED FIRE,三角测距校准
*,VETERAN,老兵
*,VULNERABILITY,弱点
*,360º VISOR,全视野目镜
*,AI MOTORCYCLE,人工智能摩托
*,ALBEDO,反照
*,BAGGAGE,辎重
*,BIOMETRIC VISOR,生体识别目镜
*,CUBE,记忆立方
*,DAZER,致眩器
*,DEACTIVATOR,关闭器
*,ECM,电子对抗装置
*,ESCAPE SYSTEM,逃生装置
*,FASTPANDA,极速熊猫
*,GIZMOKIT,修理装置
*,HACKING DEVICE PLUS,高级黑客装置
*,KILLER HACKING DEVICE,杀手黑客装置
*,EVO HACKING DEVICE,进化者黑客装置
*,HOLOMASK,全息伪装
*,HOLOPROJECTOR,全息投影装置
*,MEDIKIT,医疗装置
*,MOTORCYCLE,摩托
*,MULTISPECTRAL VISOR L1,多光谱目镜1级
*,MULTISPECTRAL VISOR L2,多光谱目镜2级
*,MULTISPECTRAL VISOR L3,多光谱目镜3级
*,NANOSCREEN,纳米屏障
*,TINBOT,援护机仆
*,X-VISOR,X目镜
*,TACTICAL BOW,战术弓
*,VIRAL TACTICAL BOW,病毒战术弓
*,AP CC WEAPON,穿甲近战武器
*,AP+DA CC WEAPON,穿甲+双重作用近战武器
*,AP+SHOCK CC WEAPON,穿甲+冲击近战武器
*,DA CC WEAPON,双重作用近战武器
*,E/M CC WEAPON,电磁近战武器
*,EXP CC WEAPON,爆炸近战武器
*,MONOFILAMENT CC WEAPON,单分子近战武器
*,PARA CC WEAPON,麻痹近战武器
*,SHOCK CC WEAPON,冲击近战武器
*,T2 CC WEAPON,T2 近战武器
*,TRENCH-HAMMER,战壕锤
*,VIRAL CC WEAPON,病毒近战武器
*,VORPAL CC WEAPON,斩首近战武器
*,HEAVY FLAMETHROWER,重型火焰喷射器
*,LIGHT FLAMETHROWER,轻型火焰喷射器
*,ECLIPSE GRENADES,日蚀手雷
*,E/M GRENADES,电磁手雷
*,SMOKE GRENADES,烟雾手雷
*,ECLIPSE GRENADE LAUNCHER,日蚀榴弹发射器
*,E/M GRENADE LAUNCHER,电磁榴弹发射器
*,GRENADE LAUNCHER,榴弹发射器
*,SMOKE GRENADE LAUNCHER,烟雾榴弹发射器
*,AP HEAVY MACHINE GUN,穿甲重机枪
*,MULTI HEAVY MACHINE GUN,多用途重机枪
*,AP MARKSMAN RIFLE,穿甲神射手步枪
*,K1 MARKSMAN RIFLE,K1 神射手步枪
*,MULTI MARKSMAN RIFLE,多用途神射手步枪
*,SHOCK MARKSMAN RIFLE,冲击神射手步枪
*,T2 MARKSMAN RIFLE,T2 神射手步枪
*,AP MINES,穿甲地雷
*,CHEST MINES,胸雷
*,CYBERMINES,赛博地雷
*,DROP BEARS,树袋熊炸弹
*,E/M MINES,电磁地雷
*,MINE DISPENSER,地雷抛射器
*,MONOFILAMENT MINES,单分子纤维束地雷
*,SHOCK MINES,冲击地雷
*,VIRAL MINES,病毒地雷
*,WILDPARROT,狂野鹦鹉
*,AP HEAVY PISTOL,重型穿甲手枪
*,ASSAULT PISTOL,突击手枪
*,BREAKER PISTOL,破盾手枪
*,HEAVY PISTOL,重型手枪
*,MULTI PISTOL,多用途手枪
*,STUN PISTOL,震撼手枪
*,VIRAL PISTOL,病毒手枪
*,AP RIFLE,穿甲步枪
*,BREAKER RIFLE,破盾步枪
